index,unit,ticker,shares,close_old,cap_old,close_new,cap_new,missing_old,missing_new,retried,recovered_old,recovered_new
HSI,HKD,0001.HK,2649624785,54.70000076293945,144934477761.0033,54.0,143079738390.0,0,0,0,0,0
HSI,HKD,0002.HK,1812324052,68.8499984741211,124778508214.81296,69.9000015258789,126681454000.18704,0,0,0,0,0
HSI,HKD,0003.HK,10849968067,7.090000152587891,76926275250.60374,7.110000133514404,77143274404.99702,0,0,0,0,0
HSI,HKD,0005.HK,16980927920,119.30000305175781,2025824752677.6794,124.30000305175781,2110729392277.6794,0,0,0,0,0
HSI,HKD,0006.HK,1363374522,54.099998474121094,73758559559.85558,55.150001525878906,75190106968.64442,0,0,0,0,0
HSI,HKD,0011.HK,684844220,153.60000610351562,105192076371.9574,153.89999389648438,105397521278.0426,0,0,0,0,0
HSI,HKD,0012.HK,1331855920,29.280000686645508,38996742252.112885,28.959999084472656,38570546223.84949,0,0,0,0,0
HSI,HKD,0016.HK,1384925220,95.5,132260358510.0,96.5999984741211,133783774138.77182,0,0,0,0,0
HSI,HKD,0027.HK,2592300017,38.7599983215332,100477544307.83049,38.63999938964844,100166471074.66563,0,0,0,0,0
HSI,HKD,0066.HK,1587516653,30.020000457763672,47657250649.767456,30.239999771118164,48006503223.36627,0,0,0,0,0
HSI,HKD,0101.HK,1709287518,8.979999542236328,15349401129.19027,8.720000267028809,14904987613.38901,0,0,0,0,0
HSI,HKD,0175.HK,5656486852,16.959999084472656,95934011831.25162,18.200000762939453,102948065021.95699,0,0,0,0,0
HSI,HKD,0241.HK,5872486807,5.230000019073486,30713106112.618797,5.210000038146973,30595656488.487595,0,0,0,0,0
HSI,HKD,0267.HK,4942144718,11.949999809265137,59058628437.4607,12.380000114440918,61183752174.42358,0,0,0,0,0
HSI,HKD,0285.HK,650567735,32.880001068115234,21390667821.68131,35.279998779296875,22952028896.649933,0,0,0,0,0
HSI,HKD,0288.HK,7467316342,9.010000228881836,67280521950.55307,8.699999809265137,64965650751.12244,0,0,0,0,0
HSI,HKD,0291.HK,1559553000,27.3799991607666,42700559831.171036,26.600000381469727,41484110394.92226,0,0,0,0,0
HSI,HKD,0300.HK,4008641921,87.19999694824219,349553563277.7957,89.30000305175781,357971735778.7043,0,0,0,0,0
HSI,HKD,0316.HK,130133162,123.5999984741211,16084458624.632553,127.0,16526911574.0,0,0,0,0,0
HSI,HKD,0322.HK,1860670416,12.170000076293945,22644359104.677887,11.710000038146973,21788450642.338943,0,0,0,0,0
HSI,HKD,0386.HK,33807404782,4.53000020980835,153147550755.5358,4.699999809265137,158894796027.14926,0,0,0,0,0
HSI,HKD,0388.HK,1187921649,407.0,483484111143.0,415.79998779296875,493937807153.2033,0,0,0,0,0
HSI,HKD,0669.HK,1424646797,91.80000305175781,130782580312.277,92.55000305175781,131851065410.027,0,0,0,0,0
HSI,HKD,0688.HK,3703420242,12.029999732971191,44552144522.3401,12.489999771118164,46255717974.93437,0,0,0,0,0
HSI,HKD,0700.HK,6244912890,614.0,3834376514460.0,623.0,3890580730470.0,0,0,0,0,0
HSI,HKD,0728.HK,23596945856,5.570000171661377,131434992468.60422,5.46999979019165,129075288881.48373,0,0,0,0,0
HSI,HKD,0762.HK,6139819631,8.40999984741211,51635882159.84787,8.0600004196167,49486948802.23085,0,0,0,0,0
HSI,HKD,0823.HK,2585279798,34.97999954223633,90433086150.59283,35.20000076293945,91001850862.01196,0,0,0,0,0
HSI,HKD,0836.HK,2149203750,17.6299991607666,37890460308.81644,17.6299991607666,37890460308.81644,0,0,0,0,0
HSI,HKD,0857.HK,30264348892,8.09000015258789,244838587154.25317,8.520000457763672,257852266413.75946,0,0,0,0,0
HSI,HKD,0868.HK,1582445324,8.229999542236328,13023524292.134018,8.489999771118164,13434960438.567009,0,0,0,0,0
HSI,HKD,0881.HK,694404990,11.359999656677246,7888440447.9949665,11.649999618530273,8089817868.605518,0,0,0,0,0
HSI,HKD,0883.HK,17093672651,20.3799991607666,348369034281.799,21.860000610351562,373667694584.0098,0,0,0,0,0
HSI,HKD,0939.HK,102678149723,7.489999771118164,769059317924.1066,7.800000190734863,800889587423.7029,0,0,0,0,0
HSI,HKD,0941.HK,6628373791,83.9000015258789,556120571178.9957,83.44999694824219,553137772630.7585,0,0,0,0,0
HSI,HKD,0960.HK,1995608326,8.869999885559082,17701045623.240753,8.739999771118164,17441616312.481503,0,0,0,0,0
HSI,HKD,0968.HK,4479487499,3.0,13438462497.0,3.059999942779541,13707231490.62167,0,0,0,0,0
HSI,HKD,0981.HK,6121124520,65.05000305175781,398179168706.1896,75.0999984741211,459696442111.9052,0,0,0,0,0
HSI,HKD,0992.HK,9855625862,9.279999732971191,91460205367.62396,9.550000190734863,94121228861.91145,0,0,0,0,0
HSI,HKD,1024.HK,2778613800,66.30000305175781,184222103419.65637,66.25,184083164250.0,0,0,0,0,0
HSI,HKD,1038.HK,607175846,56.70000076293945,34426870931.43841,57.099998474121094,34669739880.123184,0,0,0,0,0
HSI,HKD,1044.HK,614503769,28.739999771118164,17660838180.411247,28.260000228881836,17365876652.588753,0,0,0,0,0
HSI,HKD,1088.HK,5955189399,39.68000030517578,236301917169.6996,39.65999984741211,236182810655.6502,0,0,0,0,0
HSI,HKD,1093.HK,7765978182,8.199999809265137,63681019611.15721,8.479999542236328,65855491428.37731,0,0,0,0,0
HSI,HKD,1099.HK,1341819749,19.850000381469727,26635122529.51361,19.729999542236328,26474103033.533665,0,0,0,0,0
HSI,HKD,1109.HK,2884251132,27.3799991607666,78970793573.60013,27.719999313354492,79951439398.58191,0,0,0,0,0
HSI,HKD,1113.HK,1894080034,40.13999938964844,76028371408.70529,40.29999923706055,76331423925.13162,0,0,0,0,0
